,,,,,
,MATERIAL_DESC,STORAGE_LOCATION,SUBSTORE_STOCK,DATASHEET LINK,
,220µF/63V,BOX 4,100,https://www.ktron.in/product/63v-220uf-electrolytic-capacitor-10-x-16-mm/?srsltid=AfmBOooKeKJ2xQoo1cUjWpIX-PbN2iI6EL5enyO29Oh1plRTeRCplcUA&v=c86ee0d9d7ed,
,220µF/63V,BOX 4,50,https://www.ktron.in/product/63v-220uf-electrolytic-capacitor-10-x-16-mm/?srsltid=AfmBOooKeKJ2xQoo1cUjWpIX-PbN2iI6EL5enyO29Oh1plRTeRCplcUA&v=c86ee0d9d7ed,
,220?F/50V ,BOX 4,50,https://www.vishay.com/docs/28395/150crz.pdf,
,220?F/16V,BOX 4,100,https://industrial.panasonic.com/cdbs/www-data/pdf/RDE0000/ABA0000C1175.pdf,
,220?F/16V,BOX 4,50,https://industrial.panasonic.com/cdbs/www-data/pdf/RDE0000/ABA0000C1175.pdf,
,22µF/250V,BOX 4,100,https://www.vishay.com/docs/28320/152rmh.pdf,
,22µF/160V,BOX 4,20,https://www.mouser.in/datasheet/2/40/kyocera_avx_aek_series-2933552.pdf,
,100µF/100V ,BOX 4,100,https://www.mouser.in/datasheet/2/293/e_uvp-3082211.pdf,
,4.7?F/50V,BOX 4,50,https://search.murata.co.jp/Ceramy/image/img/A01X/G101/ENG/KRT31_X7R_50V_E.pdf,
,CAP 0.1µF/275V,BOX 4,50,https://www.film-capacitors.com/Products/suppression-capacitors/0-1uf-275v-x2-capacitor-for-dish-washing-machine/,
,CAP 0.22µF/275V,BOX 4,50,https://www.mouser.com/catalog/specsheets/f1778275.pdf?srsltid=AfmBOooLNJXK4sgF323K8xScOAVxU4w6Hg_6F1fmAWRDUJAMrDKay_f9,
,470?F/250V ,BOX 5,2,https://ampere-electronics.com/product/electrolytic-capacitor-470uf-250v/,
,225K250V (2?F/250V ),BOX 5,16,MOV TYPE,https://www.electrikkart.com/dec-225k-250vac-2-2mfd-250vac-or-400vdc-10-33mm-axial-capacitor-datasheet-200nos
,470nF/1000V ,BOX 5,25,https://www.piekarz.pl/en/32912-capacitor-wima-470nf-1000v-dc-400v-ac/,
,4700?F/100V ,BOX 5,3,https://www.mouser.in/datasheet/2/447/KEM_A4082_ALC80-3316696.pdf,
,33?F/250V AC,BOX 5,1,https://uk.rs-online.com/web/p/film-capacitors/2584197,
,2200?F/450V ,BOX 5,1,https://4donline.ihs.com/images/VipMasterIC/IC/EPCO/EPCOS20907/EPCOS20907-1.pdf?hkey=CECEF36DEECDED6468708AAF2E19C0C6,
,5600?F/80V ,BOX 5,1,https://twen.rs-online.com/web/p/aluminium-capacitors/7714771?srsltid=AfmBOoq6l_y8lrQECSINB4pwUvkjmMtdY5wH-VL5Nn7KqFd6nFpJDEww,
,0.68?F/3000V AC,BOX 5,3,https://datasheets.kyocera-avx.com/AVX-SV_Style.pdf,
,330?F/450V ,BOX 5,10,http://twen.rs-online.com/web/p/aluminium-capacitors/2098676?srsltid=AfmBOorM1lY3YCr8DxdkBoM0JjFWjePHd1MrUL_wgCw8g1URxDvpujmN,
