MATERIAL_DESC,STORAGE_LOCATION,SUBSTORE_STOCK,DATASHEET LINK
6N139,I1_10_1,11,https://www.vishay.com/docs/83605/6n139.pdf
SN74LS33N,I1_10_1,5,https://www.ti.com/lit/ds/symlink/sn74ls33.pdf?ts=1751263642191&ref_url=https%253A%252F%252Fwww.google.com%252F
HD74HC14,I1_10_2,25,https://docs.rs-online.com/b5a6/0900766b80c2d34d.pdf
74HC138,I1_10_2,2,https://assets.nexperia.com/documents/data-sheet/74HC_HCT138.pdf
MC14584,I1_10_2,19,https://www.onsemi.com/download/data-sheet/pdf/mc14584b-d.pdf
74LS04 = 74HCT04,I1_10_3,64,https://www.ti.com/lit/ds/symlink/sn74ls04.pdf?ts=1751220840306&ref_url=https%253A%252F%252Fwww.google.com%252F
HEF4011 = TC4011,I1_10_4,44,https://assets.nexperia.com/documents/data-sheet/HEF4011B.pdf
CD4069,I1_10_5,10,https://www.ti.com/lit/ds/symlink/cd4069ub.pdf?ts=1751263749713&ref_url=https%253A%252F%252Fwww.google.com%252F
L293D,I1_10_5,11,https://www.ti.com/lit/ds/symlink/l293.pdf
MIP2F2,I1_10_5,1,https://imrad.com.ua/userdata/modules/productFiles/trlCfLSi_MIP2F20MS-Panasonic.pdf?srsltid=AfmBOor3oUM75Be-cRE1h-7osCDNkFXNTf34h-d3dhA-Vknvj1AwbcHV
CD4070,I1_10_5,8,https://www.ti.com/lit/ds/symlink/cd4070b.pdf?ts=1751263794257&ref_url=https%253A%252F%252Fwww.google.com%252F
NE556,I1_10_6,19,https://www.ti.com/lit/ds/symlink/na556.pdf?ts=1751263811789&ref_url=https%253A%252F%252Fwww.google.com%252F
MAX485,I1_10_6,6,https://www.analog.com/media/en/technical-documentation/data-sheets/MAX1487-MAX491.pdf
CD40168CN,I1_10_7,8,https://www.ti.com/lit/ds/symlink/cd4018b.pdf?ts=1751263843222&ref_url=https%253A%252F%252Fwww.google.com%252F
